Id,UserId,Name,Date,Class,TimeDiff,time,magnitude
40917,2444,Disciplined,2021-01-02 18:32:10.287,3,0.0,0.0,1
41411,2444,Notable Question,2021-01-21 20:17:05.577,2,1647895.29,19.072862152777777,2
41417,2444,convolutional-neural-networks,2021-01-22 04:01:06.100,3,27840.523,19.395090428240742,1
41426,2444,Announcer,2021-01-22 14:55:05.017,3,39238.917,19.849244560185184,1
41575,2444,Revival,2021-01-28 17:17:40.417,3,526955.4,25.94826539351852,1
41670,2444,Revival,2021-02-02 00:42:10.713,3,372270.296,30.256949375,1
41673,2444,Revival,2021-02-02 04:42:10.643,3,14399.93,30.423615231481484,1
41861,2444,Nice Question,2021-02-09 10:51:25.850,3,626955.207,37.68004123842593,1
41944,2444,Nice Question,2021-02-12 14:46:50.440,3,273324.59,40.84352028935185,1
42160,2444,Notable Question,2021-02-21 15:12:10.590,2,779120.15,49.86111461805556,2
42211,2444,Nice Answer,2021-02-23 21:03:10.570,3,193859.98,52.104864386574086,1
42212,2444,Enlightened,2021-02-23 21:26:40.280,2,1409.71,52.12118047453705,2
42222,2444,Announcer,2021-02-24 09:41:20.120,3,44079.84,52.63136380787038,1
42421,2444,reinforcement-learning,2021-03-06 14:24:33.093,2,880992.973,62.82804173611112,2
42737,2444,Revival,2021-03-23 18:09:41.293,3,1482308.2,79.98438664351853,1
42754,2444,Enlightened,2021-03-24 18:15:45.143,2,86763.85,80.98859787037038,2
42756,2444,Nice Answer,2021-03-24 18:15:45.143,3,0.0,80.98859787037038,1
42785,2444,Announcer,2021-03-26 10:15:10.053,3,143964.91,82.65485840277779,1
42928,2444,Favorite Question,2021-04-01 09:11:00.213,2,514550.16,88.61030006944445,2
42992,2444,Notable Question,2021-04-04 15:10:41.013,2,280780.8,91.86007784722223,2
43016,2444,Popular Question,2021-04-05 16:06:15.273,3,89734.26,92.89866881944445,1
43137,2444,Popular Question,2021-04-09 23:05:45.983,3,370770.71,97.18999648148149,1
43451,2444,Revival,2021-04-21 03:40:10.197,3,966864.214,108.3805545138889,1
43715,2444,Notable Question,2021-04-29 18:58:50.537,2,746320.34,117.01852141203703,2
43736,2444,Announcer,2021-04-30 15:31:30.343,3,73959.806,117.87453768518519,1
44056,2444,Necromancer,2021-05-09 15:06:10.267,2,776079.924,126.85694421296297,2
44068,2444,Revival,2021-05-10 00:47:30.410,3,34880.143,127.26064957175926,1
44151,2444,Notable Question,2021-05-12 03:17:05.363,2,181774.953,129.3645263425926,2
44236,2444,Notable Question,2021-05-15 23:40:30.157,2,332604.794,133.21411886574074,2
44247,2444,Reviewer,2021-05-16 11:20:51.707,2,42021.55,133.70047939814816,2
44447,2444,Famous Question,2021-05-23 14:46:05.970,1,617114.263,140.84300559027778,3
44749,2444,Notable Question,2021-06-04 13:04:10.507,2,1030684.537,152.77222476851853,2
44770,2444,Announcer,2021-06-05 06:26:00.050,3,62509.543,153.49571484953705,1
45412,2444,Revival,2021-07-01 19:56:05.387,3,2295005.337,180.05827662037038,1
45453,2444,Sportsmanship,2021-07-05 14:41:55.670,2,326750.283,183.84010859953702,2
45770,2444,Popular Question,2021-07-22 03:25:50.423,3,1428234.753,200.37060342592594,1
46963,2444,Revival,2021-07-30 22:56:05.240,3,761414.817,209.1832749189815,1
47225,2444,Constable,2021-08-10 16:50:08.443,1,928443.203,219.9291453240741,3
48997,2444,Necromancer,2021-09-15 14:40:35.463,2,3102627.02,255.8391802777778,2
49000,2444,Yearling,2021-09-15 18:35:35.977,2,14100.514,256.0023806712963,2
49321,2444,comparison,2021-10-03 04:02:04.067,2,1502788.09,273.3957613425926,2
49383,2444,Popular Question,2021-10-06 18:27:50.360,3,311146.293,276.9969915856482,1
49647,2444,Nice Question,2021-10-18 11:32:20.903,3,1011870.543,288.70845620370375,1
49702,2444,Good Answer,2021-10-20 17:40:43.693,2,194902.79,290.96427553240744,2
49818,2444,Nice Answer,2021-10-25 19:03:06.793,3,436943.1,296.02148733796304,1
50062,2444,Nice Answer,2021-11-05 13:25:25.870,3,930139.077,306.7869859143519,1
50545,2444,Booster,2021-11-28 12:40:40.067,2,1984514.197,329.7559002314815,2
50766,2444,Necromancer,2021-12-10 08:01:00.223,2,1020020.156,341.56168907407414,2
50843,2444,Nice Answer,2021-12-14 20:47:50.600,3,391610.377,346.0942165856482,1
50845,2444,Enlightened,2021-12-14 23:16:10.253,2,8899.653,346.1972218287038,2
50894,2444,Notable Question,2021-12-16 20:45:45.197,2,163774.944,348.0927651620371,2
50919,2444,Announcer,2021-12-17 22:01:30.173,3,90944.976,349.145369050926,1
51075,2444,Nice Answer,2021-12-26 01:55:50.147,3,705259.974,357.3081002314815,1
51189,2444,Famous Question,2021-12-31 00:25:35.253,1,426585.106,362.24542784722223,3
51337,2444,Enlightened,2022-01-07 02:06:30.377,2,610855.124,369.31551030092595,2
51472,2444,Nice Question,2022-01-14 10:20:55.340,3,634464.963,376.6588547800926,1
51505,2444,Revival,2022-01-16 17:46:35.380,3,199540.04,378.9683459837963,1
51849,2444,neural-networks,2022-02-03 04:01:09.983,2,1505674.603,396.3951353703704,2
52080,2444,Notable Question,2022-02-15 01:27:40.263,2,1027590.28,408.2885413888889,2
52131,2444,Notable Question,2022-02-18 07:48:20.533,2,282040.27,411.5528963657408,2
52193,2444,Nice Answer,2022-02-22 01:05:40.447,3,321439.914,415.2732657407408,1
52195,2444,Enlightened,2022-02-22 04:06:55.837,2,10875.39,415.39913831018526,2
52827,2444,Nice Answer,2022-03-30 06:10:10.393,3,3117794.556,451.4847234490741,1
52830,2444,Enlightened,2022-03-30 06:47:45.467,2,2255.074,451.5108238425927,2
52852,2444,Nice Answer,2022-03-31 11:10:40.397,3,102174.93,452.693404050926,1
53108,2444,agi,2022-04-15 04:01:22.703,3,1270242.306,467.3952825925927,1
53470,2444,Popular Question,2022-05-04 05:18:45.583,3,1646242.88,486.4490196296298,1
